weed_count,date,client,user,weed diameter,size,height,weed placement,weed type,weed name,weed applied
59,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1
60,2024-02-01,cliente1,yo,20.0,314.0,,Entre surco,HA,Xanthium cavanillesii,1
61,2024-02-01,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,0
62,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,0
63,2024-02-01,cliente1,yo,,15.0,,Entre surco,HA,Xanthium cavanillesii,0
64,2024-02-01,cliente1,yo,,15.0,,Entre surco,G,Maíz voluntario,1
65,2024-02-01,cliente1,yo,15.0,176.63,,Surco,HA,Xanthium cavanillesii,1
66,2024-02-01,cliente1,yo,20.0,314.0,,Entre surco,HA,Xanthium cavanillesii,0
67,2024-02-01,cliente1,yo,15.0,176.63,,Surco,G,Maíz voluntario,1
68,2024-02-01,cliente1,yo,,25.0,,Surco,HA,Xanthium cavanillesii,1
69,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,0
70,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,1
71,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
72,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
73,2024-02-01,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,1
74,2024-02-01,cliente1,yo,20.0,314.0,,Surco,G,Maíz voluntario,1
75,2024-02-01,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,1
76,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1
77,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1
78,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,1
79,2024-02-01,cliente1,yo,,15.0,,Entre surco,HA,Xanthium cavanillesii,0
80,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
81,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,0
82,2024-02-01,cliente1,yo,,20.0,,Surco,HA,Xanthium cavanillesii,1
83,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Xanthium cavanillesii,1
84,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1
85,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,0
86,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1
87,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1
88,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1
89,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1
90,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,0
91,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1
92,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1
93,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,0
94,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,0
95,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,G,Maíz voluntario,1
96,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,G,Maíz voluntario,0
97,2024-02-01,cliente1,yo,,0.0,,,HA,Xanthium cavanillesii,1
98,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,G,Maíz voluntario,1
99,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1
100,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Xanthium cavanillesii,1
101,2024-02-01,cliente1,yo,10.0,78.5,,Surco,HA,Bassia scoparia,1
102,2024-02-01,cliente1,yo,,9.0,,Surco,G,Maíz voluntario,1
103,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,HA,Bassia scoparia,1
104,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Bassia scoparia,1
105,2024-02-01,cliente1,yo,,25.0,,Entre surco,G,Maíz voluntario,1
106,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Conyza sp,1
107,2024-02-01,cliente1,yo,,25.0,,Surco,HA,Conyza sp,1
108,2024-02-01,cliente1,yo,,20.0,,Entre surco,HA,Xanthium cavanillesii,0
109,2024-02-01,cliente1,yo,,9.0,,Surco,G,Maíz voluntario,0
110,2024-02-01,cliente1,yo,,0.0,,,,,
111,2024-02-01,cliente1,yo,,0.0,,,HA,Bassia scoparia,1
112,2024-02-01,cliente1,yo,,20.0,,Surco,G,Maíz voluntario,1
113,2024-02-01,cliente1,yo,,7.0,,Surco,G,Maíz voluntario,1
114,2024-02-01,cliente1,yo,15.0,176.63,,Entre surco,G,Maíz voluntario,1
115,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,G,Maíz voluntario,0
116,2024-02-01,cliente1,yo,,0.0,,Entre surco,HA,Bassia scoparia,1
117,2024-02-01,cliente1,yo,,0.0,,Surco,HA,Bassia scoparia,1
118,2024-02-01,cliente1,yo,,25.0,,Entre surco,G,,1
119,2024-02-01,cliente1,yo,30.0,706.5,,Entre surco,HA,Bassia scoparia,1
120,2024-02-01,cliente1,yo,30.0,706.5,,Entre surco,HA,Bassia scoparia,1
121,2024-02-01,cliente1,yo,50.0,1962.5,,Entre surco,HA,Bassia scoparia,1
122,2024-02-01,cliente1,yo,20.0,314.0,,Entre surco,HA,Bassia scoparia,1
123,2024-02-01,cliente1,yo,25.0,490.63,,Entre surco,HA,Xanthium cavanillesii,0
124,2024-02-01,cliente1,yo,,25.0,,Surco,HA,Conyza sp,1
125,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Bassia scoparia,1
126,2024-02-01,cliente1,yo,15.0,176.63,,Surco,HA,Bassia scoparia,1
127,2024-02-01,cliente1,yo,,25.0,,Entre surco,G,Maíz voluntario,0
128,2024-02-01,cliente1,yo,10.0,78.5,,Surco,G,Maíz voluntario,1
129,2024-02-01,cliente1,yo,,25.0,,Entre surco,G,Maíz voluntario,1
130,2024-02-01,cliente1,yo,15.0,176.63,,Surco,HA,Bassia scoparia,1
131,2024-02-01,cliente1,yo,50.0,1962.5,,Entre surco,HA,Bassia scoparia,1
132,2024-02-01,cliente1,yo,,25.0,,Entre surco,HA,Bassia scoparia,1
133,2024-02-01,cliente1,yo,,25.0,,Surco,G,Maíz voluntario,1
134,2024-02-01,cliente1,yo,,20.0,,Entre surco,G,Maíz voluntario,1
135,2024-02-01,cliente1,yo,,20.0,,Entre surco,G,Maíz voluntario,1
136,2024-02-01,cliente1,yo,,20.0,,Surco,HA,Xanthium cavanillesii,0
137,2024-02-01,cliente1,yo,20.0,314.0,,Entre surco,HA,Bassia scoparia,1
138,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Xanthium cavanillesii,1
139,2024-02-01,cliente1,yo,,25.0,,Surco,G,Maíz voluntario,1
140,2024-02-01,cliente1,yo,10.0,78.5,,Entre surco,HA,Bassia scoparia,0
141,2024-02-01,cliente1,yo,,0.0,,,,,
142,2024-02-01,cliente1,yo,10.0,78.5,,Surco,HA,Xanthium cavanillesii,1
143,2024-02-01,cliente1,yo,20.0,314.0,,Entre surco,HA,Bassia scoparia,1
144,2024-02-01,cliente1,yo,,20.0,,Surco,HA,Bassia scoparia,1
145,2024-02-01,cliente1,yo,,15.0,,Entre surco,G,Maíz voluntario,1
146,2024-02-01,cliente1,yo,20.0,314.0,,Surco,HA,Bassia scoparia,1
147,2024-02-01,cliente1,yo,,0.0,,,,,
148,2024-02-01,cliente1,yo,,0.0,,Entre surco,HA,Bassia scoparia,1
149,2024-02-01,cliente1,yo,,0.0,,Surco,HA,Bassia scoparia,1
150,2024-02-01,cliente1,yo,,0.0,,Entre surco,HA,Bassia scoparia,1
